Site Name,Listing URL,Base URL,Contact Name,Contact Number,to_scrape,Scraper,Mode,Status,Count
Corporate Investment,https://corpinvest.com/austin-tx-businesses-for-sale/,https://corpinvest.com,Corporate Investment,,False,,,skipped,0
Inix Business Brokers,https://www.inixbiz.com/active,https://www.inixbiz.com,Inix Business Brokers,,False,,,skipped,0
American Business Brokers,https://americanbizbrokers.com/business-listings,https://americanbizbrokers.com,American Business Brokers,,False,,,skipped,0
Business Network Of Ohio,https://businessnetworkohio.com/featured-listings,https://businessnetworkohio.com,Business Network Of Ohio,,False,,,skipped,0
Generational Equity,https://www.dealforce.com/opportunities/,https://www.dealforce.com,Generational Equity,,False,,,skipped,0
Griggs Business Brokers,https://www.griggsbusinessbrokers.com/featured-listings/,https://www.griggsbusinessbrokers.com,Griggs Business Brokers,,False,,,skipped,0
Hawaii Business Sales,https://www.hawaiibizforsale.com/portfolio,https://www.hawaiibizforsale.com,Hawaii Business Sales,,False,,,skipped,0
Horizon Brokers & Consultants,https://horizonbrokersnc.com/listings/,https://horizonbrokersnc.com,Horizon Brokers & Consultants,,False,,,skipped,0
Marsh Creek Advisors,https://www.mcreek.com/businesses-for-sale/,https://www.mcreek.com,Marsh Creek Advisors,,False,,,skipped,0
Midwest Business Brokers,http://www.midwest-brokers.com/businesses-sale-listings/,https://www.midwest-brokers.com,Midwest Business Brokers,,False,,,skipped,0
O Keeffe & O'Malley,https://www.ok-om.com/businesses-for-sale/,https://www.ok-om.com,O Keeffe & O'Malley,,False,,,skipped,0
Robbinex,https://www.robbinex.com/active-listings/,https://www.robbinex.com,Robbinex,,False,,,skipped,0
Washington Metropolitan Business Brokers,https://washmbb.com/businesses-for-sale/,https://washmbb.com,Washington Metropolitan Business Brokers,,False,,,skipped,0
Agency Professionals Business Brokerage,https://www.theagencypros.com/listings,https://www.theagencypros.com,Agency Professionals Business Brokerage,,False,,,skipped,0
Aria Business Brokers,https://aria.net/listings/,https://aria.net,Aria Business Brokers,,False,,,skipped,0
Business Acquisition and Merger Associates,https://www.buysellyourbusiness.com/current-engagements,https://www.buysellyourbusiness.com,Business Acquisition and Merger Associates,,False,,,skipped,0
Commercial & Industrial Consultants,https://commercialindustrialconsultants.com/business-listings,https://commercialindustrialconsultants.com,Commercial & Industrial Consultants,,False,,,skipped,0
John Lastra New Mexico's Premier Business Broker,http://www.nmbizsales.com/listings/,https://www.nmbizsales.com,John Lastra New Mexico's Premier Business Broker,,False,,,skipped,0
Market Point Advisors,http://www.marketpointadvisors.com/current-listings/,https://www.marketpointadvisors.com,Market Point Advisors,,False,,,skipped,0
NuVescor Group,http://nuvescor.com/companies-for-sale/,https://nuvescor.com,NuVescor Group,,False,,,skipped,0
Ostir Business Brokers,https://ostirbusinessbrokers.com/businesses-for-sale,https://www.ostirbusinessbrokers.com,Ostir Business Brokers,,False,,,skipped,0
Plymouth Financial Group,https://www.plymouthfinancialgroup.com/current-listings/,https://www.plymouthfinancialgroup.com,Plymouth Financial Group,,False,,,skipped,0
Rogerson Business Services,https://www.rogersonbusinessservices.com/services/buying-your-business/business-for-sale/,https://www.rogersonbusinessservices.com,Rogerson Business Services,,False,,,skipped,0
Score Business Brokers,https://scorebusinessbrokers.com/listings,https://scorebusinessbrokers.com,Score Business Brokers,,False,,,skipped,0
The CBB Group,http://www.thecbbgroup.com/current-offerings/,https://www.thecbbgroup.com,The CBB Group,,False,,,skipped,0
The Hatteras Group,http://hatterasgroup.com/businesses-for-sale/,https://hatterasgroup.com,The Hatteras Group,,False,,,skipped,0
Coastal M&A,https://coastalmanda.com/current-businesses-for-sale-coastal-m-a/,https://coastalmanda.com,Coastal M&A,,False,,,skipped,0
Balto-Washington Business Brokerage,https://bwbrokerage.com/businesses-for-sale,https://bwbrokerage.com,Balto-Washington Business Brokerage,,False,,,skipped,0
Beltway Brokerage,https://www.beltwaybrokerage.org/listings,https://www.beltwaybrokerage.org,Beltway Brokerage,,False,,,skipped,0
Better Business Brokers,https://www.biztx.com/listings,https://www.biztx.com,Better Business Brokers,,False,,,skipped,0
BMI Mergers & Acquisitions,https://www.bmimergers.com/transactions/current-engagements/,https://www.bmimergers.com,BMI Mergers & Acquisitions,,False,,,skipped,0
Brandywine Mergers & Acquisitions,http://bma1.com/current-engagements/,https://bma1.com,Brandywine Mergers & Acquisitions,,False,,,skipped,0
Evolution Advisors,http://evobizsales.com/businesses-for-sale/,https://evobizsales.com,Evolution Advisors,,False,,,skipped,0
Gibson and Associates,https://gai.services/businesses-for-sale/,https://gai.services,Gibson and Associates,,False,,,skipped,0
Global Business Brokers,https://www.globalbizbkrs.com/businesses-for-sale,https://www.globalbizbkrs.com,Global Business Brokers,,False,,,skipped,0
Investive,https://www.investive.com/marketplace/,https://www.investive.com,Investive,,False,,,skipped,0
Jason Brice Business Broker,https://www.jason-brice.com/listings,https://www.jason-brice.com,Jason Brice Business Broker,,False,,,skipped,0
KHAM Incorporated,https://khaminc.com/businesses-for-sale/,https://khaminc.com,KHAM Incorporated,,False,,,skipped,0
MidStreet M&A,https://www.midstreet.com/businesses-for-sale,https://www.midstreet.com,MidStreet M&A,,False,,,skipped,0
Pacific Business Sales,"https://www.pbsbrokers.com/businesses/?_sft_status=for-sale,escrow,in-contract",https://www.pbsbrokers.com,Pacific Business Sales,,False,,,skipped,0
Clarke Advisors,https://clarkeadvisors.net/logistics-companies-for-sale/,https://clarkeadvisors.net,Clarke Advisors,,False,,,skipped,0
Coastal Consultants,https://www.coastalconsult.org/businesses-for-sale/,https://www.coastalconsult.org,Coastal Consultants,,False,,,skipped,0
Emerald Coast Business Intermediaries,https://www.ecbrokers.com/listings-for-sale/,https://www.ecbrokers.com,Emerald Coast Business Intermediaries,,False,,,skipped,0
Lake Country Advisors,https://lakecountryadvisors.com/businesses-for-sale/ma/,https://lakecountryadvisors.com,Lake Country Advisors,,False,,,skipped,0
MDR & Associates,https://mdrma.com/companies-for-sale/,https://mdrma.com,MDR & Associates,,False,,,skipped,0
MGL Business Solutions,https://mglbusinesssolutions.com/businesses-for-sale/,https://mglbusinesssolutions.com,MGL Business Solutions,,False,,,skipped,0
Strategic Business Brokers Group,https://businessbrokerphoenixaz.com/product-category/current-listings/,https://www.businessbrokerphoenixaz.com,Strategic Business Brokers Group,,False,,,skipped,0
The Firm,https://www.thefirmadv.com/business-buyer/opportunities/,https://www.thefirmadv.com,The Firm,,False,,,skipped,0
The Kuby Company,http://www.kubyco.com/opportunities/,http://www.kubyco.com,The Kuby Company,,False,,,skipped,0
The M&A Specialists,https://www.maspecialists.com/listings,https://www.maspecialists.com,The M&A Specialists,,False,,,skipped,0
Caswell Advisory Group,https://caswelladvisorygroup.com/acquisition-opportunities/,https://caswelladvisorygroup.com,Caswell Advisory Group,,False,,,skipped,0
FidCol Corporate Services,https://www.fidcol.com/sellers,https://www.fidcol.com,FidCol Corporate Services,,False,,,skipped,0
Tucson Business Broker,https://tucsonbusinessbroker.com/businesses-for-sale,https://tucsonbusinessbroker.com,Tucson Business Broker,,False,,,skipped,0
Klassen Ingalls,http://www.klasseningalls.com/index.php/forsale,http://www.klasseningalls.com,Klassen Ingalls,,False,,,skipped,0
Morgan & Westfield,http://www.morganandwestfield.com/businesses-for-sale,http://www.morganandwestfield.com,Morgan & Westfield,,False,,,skipped,0
Pinson Group Business Advisors,https://pinsongroupintl.com/available-businesses/?paged=,http://pinsongroupintl.com,Pinson Group Business Advisors,,False,,,skipped,0
Results Business Advisors,https://www.resultsba.com/category/business-listings/,https://www.resultsba.com,Results Business Advisors,,False,,,skipped,0
Tucson Business Broker,https://tucsonbusinessbroker.com/businesses-for-sale,https://tucsonbusinessbroker.com,Tucson Business Broker,,False,,,skipped,0
BIB Group,https://bibgroup.net/buy/,https://bibgroup.net,BIB Group,,False,,,skipped,0
Liberty Business Brokers of Ontario,https://libertybusinessbrokersofontario.com/listings/,https://libertybusinessbrokersofontario.com,Liberty Business Brokers of Ontario,,False,,,skipped,0
Light & Raphael,http://www.lightandraphael.com/current-offerings/,http://www.lightandraphael.com,Light & Raphael,,False,,,skipped,0
Sam Goldenberg & Associates,https://samgoldenberg.com/business-listings/,https://samgoldenberg.com,Sam Goldenberg & Associates,,False,,,skipped,0
Texas Business Brokers,https://texasbusinessbrokers.com/our-listings/,https://texasbusinessbrokers.com,Texas Business Brokers,,False,,,skipped,0
The Business House,https://thebusinesshouseinc.com/businesses-for-sale/,https://thebusinesshouseinc.com,The Business House,,False,,,skipped,0
Business Buyer Directory,https://business-buyer-directory.com/business-listings/,https://business-buyer-directory.com,Business Buyer Directory,,False,,,skipped,0
Davidson Business Investments,http://www.godbi.com/Business-for-sale.html,http://www.godbi.com,Davidson Business Investments,,False,,,skipped,0
Exit Equity,https://exitequity.com/listing_status/current/,https://exitequity.com,Exit Equity,,False,,,skipped,0
The Chase Group,https://chasegroup.us/listings/,http://www.chasegroup.us,The Chase Group,,False,,,skipped,0
The Vant Group,https://www.thevantgroup.com/business-listings/,http://www.thevantgroup.com,The Vant Group,,False,,,skipped,0
VR Business Brokers Master,https://www.vrbusinessbrokers.com/businesses-for-sale/?wpv_view_count=35524&wpv-wpcf-pretty-industry=&wpv-wpcf-price=1000000000000000&wpv-wpcf-cash-flow=0&wpv_post_search=&wpv-wpcf-type-of-location=&wpv-wpcf-year-established=&wpv_sort_orderby=field-wpcf-price&wpv_sort_order=desc&wpv-wpcf-listing-id=&wpv-relationship-filter=0&wpv_paged=,https://www.vrbusinessbrokers.com,VR Business Brokers Master,,False,,,skipped,0
Accelerated Manufacturing Brokers,https://acceleratedmfgbrokers.com/manufacturing-business-listings/,https://acceleratedmfgbrokers.com,Accelerated Manufacturing Brokers,,False,,,skipped,0
Atlantic Business Brokerage,https://www.atlanticbusinessbrokerage.com/listings/,https://www.atlanticbusinessbrokerage.com,Atlantic Business Brokerage,,False,,,skipped,0
Benjamin Ross Group,https://listings.benjaminrossgroup.com/,https://www.benjaminrossgroup.com,Benjamin Ross Group,,False,,,skipped,0
BizEx,https://www.bizex.net/business-for-sale?&page=,https://www.bizex.net,BizEx,,False,,,skipped,0
Brown Business Brokers,https://birminghambusinessbroker.com/businesses-for-sale,https://birminghambusinessbroker.com,Brown Business Brokers,,False,,,skipped,0
Country Business Incorporated,https://www.countrybusiness.net/currentopportunities,http://countrybusiness.net,Country Business Incorporated,,False,,,skipped,0
First Choice Business Brokers,https://businessforsalemichigan.com/businesses-for-sale?sort=FeaturedLocalBusinesses&page=,https://businessforsalemichigan.com,First Choice Business Brokers,,False,,,skipped,0
Tennessee Business Brokers,https://www.tennbusinessbrokers.com/business-for-sale,https://www.tennbusinessbrokers.com,Tennessee Business Brokers,,False,,,skipped,0
Meritus Group,https://meritus.group/buying-a-business/businesses-for-sale/,https://meritus.group,Meritus Group,,False,,,skipped,0
Paul Habba Business Broker,https://paulhabba.com/businesses,https://paulhabba.com,Paul Habba Business Broker,,False,,,skipped,0
Sierra Company,http://www.sierracompany.net/id1.html,http://www.sierracompany.net,Sierra Company,,False,,,skipped,0
The Quincy Group,https://thequincygroup.net/businesses_for_sale/,https://thequincygroup.net,The Quincy Group,,False,,,skipped,0
Allan Michael Group,https://allanmichaelgroup.com/category/available/,https://allanmichaelgroup.com,Allan Michael Group,,False,,,skipped,0
Beacon Mergers & Acquisitions,https://www.beaconadvisors.com/current-businesses-for-sale/,https://www.beaconadvisors.com,Beacon Mergers & Acquisitions,,False,,,skipped,0
Cincinnati Business Brokers,https://cincybizbroker.com/current-listings/,https://www.cincybizbroker.com,Cincinnati Business Brokers,,False,,,skipped,0
Columbus Business Brokers,http://www.columbusbizbroker.com/buy-a-business/,,Columbus Business Brokers,,False,,,skipped,0
Dayton Business Brokers,http://www.daytonbizbroker.com/buy-a-business/,,Dayton Business Brokers,,False,,,skipped,0
Kendall Capital Group,https://www.kendallcapitalgroup.com/pages/our-listings,,Kendall Capital Group,,False,,,skipped,0
Lexington Business Broker,http://www.lexingtonbizbroker.com/buy-a-business/,,Lexington Business Broker,,False,,,skipped,0
Liberty Group of Nevada,https://www.thelibertygroupofnevada.com/businesses-for-sale/,,Liberty Group of Nevada,,False,,,skipped,0
Louisville Business Brokers,http://www.louisvillebizbroker.com/buy-a-business/,,Louisville Business Brokers,,False,,,skipped,0
Maine Business Brokers,https://www.mainebusinessbrokers.com/businesses-for-sale,,Maine Business Brokers,,False,,,skipped,0
Portage M&A,https://portagemaadvisory.com/opportunities/,,Portage M&A,,False,,,skipped,0
RLS Associates,https://www.rlsassociates.com/active-seller-projects/,,RLS Associates,,False,,,skipped,0
TREP Advisors,https://trepadvisors.com/acquisition-opportunities/,,TREP Advisors,,False,,,skipped,0
Empire Business Associates,http://empirebusinesses.com/currently-for-sale/,,Empire Business Associates,,False,,,skipped,0
Maxima Divestitures Group,https://maximadivestitures.com/business-opportunities/,,Maxima Divestitures Group,,False,,,skipped,0
ACT Capital Advisors,https://actcapitaladvisors.com/open-deals/,,ACT Capital Advisors,,False,,,skipped,0
Coast Business Brokerage,https://www.coastbusinessbrokerage.com/listings/,,Coast Business Brokerage,,False,,,skipped,0
Harvest Business Advisors,https://www.harvestbusiness.com/s-projects-basic,,Harvest Business Advisors,,False,,,skipped,0
Ontario Commercial Group,https://www.ontario-commercial.com/businesses-for-sale/,,Ontario Commercial Group,,False,,,skipped,0
"Phil Reese, CBI",https://www.philsellsbiz.com/listings/,,"Phil Reese, CBI",,False,,,skipped,0
Best Business Brokers,https://b3brokers.com/businesses-for-sale/,,Best Business Brokers,,False,,,skipped,0
Business Brokers Colorado,https://businessbrokercolorado.com/businesses-for-sale/,,Business Brokers Colorado,,False,,,skipped,0
Concord Ventures,https://concordventuresinc.com/mandates/,,Concord Ventures,,False,,,skipped,0
Front Range Business,https://frontrangebusiness.com/businesses-for-sale/,,Front Range Business,,False,,,skipped,0
LINK Business - Pennsylvania East,https://linkbusiness.com/businesses-for-sale/,,LINK Business - Pennsylvania East,,False,,,skipped,0
Sigma Mergers & Acquisitions,https://sigmamergers.com/businesses-for-sale/,,Sigma Mergers & Acquisitions,,False,,,skipped,0
United Brokers Group,http://unitedbrokersgrp.com/our-listings/,,United Brokers Group,,False,,,skipped,0
Keystone Business Brokers,https://businessbuysellontario.com/businesses-for-sale,,Keystone Business Brokers,,False,,,skipped,0
Magnusson Balfour,https://balfourcommercial.com/businesses/businesses-for-sale/,,Magnusson Balfour,,True,,,exception,0
Southern Mergers & Acquisitions,http://charlotte-business-broker.com/carolina-business-forSale.asp,,Southern Mergers & Acquisitions,,False,,,skipped,0
Sun Acquisitions,https://sunacquisitions.com/featured-business-listings/,,Sun Acquisitions,,False,,,skipped,0
Trust Business Brokers,https://www.trustbusinessbrokers.com/buy-a-business/,,Trust Business Brokers,,False,,,skipped,0
Veld Mergers & Acquisitions,https://www.veldma.com/listing/,,Veld Mergers & Acquisitions,,False,,,skipped,0
Acuity Business Group,https://acuitybusinessgroup.com/listings/,,Acuity Business Group,,False,,,skipped,0
Georgia Business Associates,https://gabusinessbrokers.com/businesses-for-sale/,,Georgia Business AssociateFalses,,False,,,skipped,0
Beal Business Brokers & Advisors,https://bealbusinessbrokers.dealrelations.com/listing_feeds/463,,Beal Business Brokers & Advisors,,False,,,skipped,0
The A List Group,http://www.alistgroup.com/featured-business-listings/,,The A List Group,,False,,,skipped,0
Alliant Capital Advisors,https://alliantbrokers.com/businesses-for-sale/,,Alliant Capital Advisors,,False,,,skipped,0
Exit 360 Business Brokers,https://www.exit360brokers.com/portfolio,,Exit 360 Business Brokers,,False,,,skipped,0
M&A Connect,https://www.mandaconnect.com/companies-for-sale,,M&A Connect,,False,,,skipped,0
Touchstone Business Advisors,http://touchstonebiz.com/businesses-for-sale-2/,,Touchstone Business Advisors,,False,,,skipped,0
BottomLine Business Brokers,https://www.blbrokers.com/businesses-for-sale,,BottomLine Business Brokers,,False,,,skipped,0
Golden Gate Business Advisors,http://www.ggbusinessadvisors.com/current-listings/,,Golden Gate Business Advisors,,False,,,skipped,0
Keate Partners,https://www.keatepartners.com/business-listings/,,Keate Partners,,False,,,skipped,0
The Saleh Group,https://salehgroup.com/category/listings/,,The Saleh Group,,False,,,skipped,0
GM Consultants,https://businessbrokergeorge.com/listings/,,GM Consultants,,False,,,skipped,0
Lisiten Associates,https://lisitenassociates.com/exclusive-listings/,,Lisiten Associates,,False,,,skipped,0
Success Business Services,http://www.successbusinessservices.com/list.php,,Success Business Services,,False,,,skipped,0
RAPT Enterprises,https://www.raptbizbrokers.com/businesses-for-sale/,,RAPT Enterprises,,False,,,skipped,0
BC Business Brokers,http://www.bcbusinessbroker.ca/businesses-for-sale/,,BC Business Brokers,,False,,,skipped,0
National Mergers and Acquisition Group,http://www.nationalmagroup.com/buy-a-business/businesses-available,,National Mergers and Acquisition Group,,False,,,skipped,0
The NYBB Group,http://nybbinc.com/businesses-for-sale/,,The NYBB Group,,False,,,skipped,0
The Independence Group,https://independencegroup.com/deal-opportunities/,,The Independence Group,,False,,,skipped,0
TM Business Brokers,https://tmbusinessbrokers.com/listings,,TM Business Brokers,,False,,,skipped,0
Crossroads Business Brokers,https://crossroadsbusiness.com/businesses-for-sale,,Crossroads Business Brokers,,False,,,skipped,0
Exit Consulting Group,https://exitconsultinggroup.com/listings/,,Exit Consulting Group,,False,,,skipped,0
BIR Business Brokers,https://businessbrokersorangecounty.com/listings/,,BIR Business Brokers,,False,,,skipped,0
Capital Business Brokerage,http://capitalbusinessbrokerage.biz/business/,,Capital Business Brokerage,,False,,,skipped,0
Murray & Associates,http://murraybizbuy.com/businesses-for-sale-2/,,Murray & Associates,,False,,,skipped,0
Charleston Business Brokers,https://www.charlestonbusinessbrokers.com/businesses-for-sale/,,Charleston Business Brokers,,False,,,skipped,0
Equity Group of Michigan,https://equitygroupmi.com/businesses-for-sale-by-egm/,,Equity Group of Michigan,,False,,,skipped,0
Number1BusinessBroker,https://number1businessbroker.com/search/,,Number1BusinessBroker,,False,,,skipped,0
Pavilion Business Services,https://www.pavilionservices.com/listings/,,Pavilion Business Services,,False,,,skipped,0
Small Business Deal Advisors,https://www.smallbusinessdeal.com/current-listings/,,Small Business Deal Advisors,,False,,,skipped,0
First Street Business Brokers,https://www.firststreetbusinessbrokers.com/jm-ajax/get_listings/,,First Street Business Brokers,,False,,,skipped,0
Empire Business Brokers,http://www.empirebizbroker.com/businesses-for-sale,,Empire Business Brokers,,False,,,skipped,0
ENLIGN Business Brokers,https://enlign.com/listings,,ENLIGN Business Brokers,,False,,,skipped,0
GoldStar Business Brokers,https://goldstarbbaz.com/CurrentListings.aspx,,GoldStar Business Brokers,,False,,,skipped,0
BusinessQuest Brokers,https://www.businessquestbrokers.com/businesses/businesses-results.asp,,BusinessQuest Brokers,,False,,,skipped,0
The FBB Group,https://fbb.dealrelations.com/listing_feeds/790,,The FBB Group,,False,,,skipped,0
Michigan Business Broker,https://www.michiganbusinessbroker.com/listings,,Michigan Business Broker,,False,,,skipped,0
Ana Brokers,https://anabrokers.com/businesses-for-sale/,,Ana Brokers,,False,,,skipped,0
Alamo Brokers of Texas,http://www.alamobrokersoftexas.com/businesses-for-sale,,Alamo Brokers of Texas,,False,,,skipped,0
International Business Exchange,https://www.ibexbeyond.com/buy-a-business/,,International Business Exchange,,False,,,skipped,0
Calder Capital,https://www.caldergr.com/businesses-for-sale/,,Calder Capital,,False,,,skipped,0
Business Modification Group,https://businessmodificationgroup.com/listings/?statuses=ACTIVE,,Business Modification Group,,False,,,skipped,0
First Choice Business Brokers Los Angeles,https://thebusinessbrokerslosangeles.com/businesses-for-sale,,First Choice Business Brokers Los Angeles,,False,,,skipped,0
Zoom Business Brokers,https://zoombusinessbrokers.com/businesses-for-sale/,,Zoom Business Brokers,,False,,,skipped,0
Bristol Group,https://bristolgrouponline.com/businesses-for-sale/,,Bristol Group,,False,,,skipped,0
Business Exits,https://businessexits.com/listings/,,Business Exits,,False,,,skipped,0
Indiana Equity Partners,https://indianaequitybrokers.com/businesses-for-sale/,,Indiana Equity Partners,,False,,,skipped,0
Praxis Business Brokers,https://praxisbusinessbrokers.com/business-opportunities,,Praxis Business Brokers,,False,,,skipped,0
Viking Mergers & Acquisitions,https://www.vikingmergers.com/business-listings/,,Viking Mergers & Acquisitions,,False,,,skipped,0
American Fortune Mergers & Acquisitions,https://www.fortunebta.com/businesses-for-sale/,,American Fortune Mergers & Acquisitions,,False,,,skipped,0
Arthur Berry & Company,http://www.arthurberry.com/bus_tbl.htm,,Arthur Berry & Company,,False,,,skipped,0
Central Business Brokers,http://centralbrokers.com/business-listings/,,Central Business Brokers,,False,,,skipped,0
Integra Business Brokers,https://www.integrabrokers.com/businesses-for-sale/,,Integra Business Brokers,,False,,,skipped,0
InterMountain Business Brokers,https://intermountainbusinessbrokers.com/businesses-for-sale,,InterMountain Business Brokers,,False,,,skipped,0
Alpine Business Brokers,https://www.alpinebusinessbrokers.com/utah-businesses-for-sale/,,Alpine Business Brokers,,False,,,skipped,0
Business Finders Canada,https://businessfinderscanada.com/listings/businesses-for-sale/,,Business Finders Canada,,False,,,skipped,0
Latona's,https://latonas.com/listings/,,Latona's,,False,,,skipped,0
Corporate Investment Business Brokers,https://www.cibb.com/cibb-exclusive-listings/,,Corporate Investment Business Brokers,,False,,,skipped,0
Woodbridge International,https://woodbridgegrp.com/current-engagements/,,Woodbridge International,,False,,,skipped,0
Truforte Business Group,https://trufortebusinessgroup.com/florida-business-for-sale/,,Truforte Business Group,,False,,,skipped,0
Advanced Business Brokers (Michigan),https://abb-businessbrokers.com/businesses-for-sale/,,Advanced Business Brokers (Michigan),,False,,,skipped,0
Calhoun Companies,https://www.calhouncompanies.com/find-a-business,,Calhoun Companies,,False,,,skipped,0
Gottesman Company,https://gottesman-company.com/opportunities/list/,,Gottesman Company,,False,,,skipped,0
Alberta Business Sales Inc,https://absales.ca/businesses,,Alberta Business Sales Inc,,False,,,skipped,0
BizMatch Inc,http://www.biz-match.com/bizMatch/listings.aspx,,BizMatch Inc,,False,,,skipped,0
Aldrin Raphael Business Brokers,https://www.aldrin.ca/businesses-for-sale/,,Aldrin Raphael Business Brokers,,False,,,skipped,0
Utah Business Consultants,https://ubcutah.com/business-listings/,,Utah Business Consultants,,False,,,skipped,0
American Business Acquisitions,https://abausa.com/businesses-for-sale/,,American Business Acquisitions,,False,,,skipped,0
V-AID Group,https://v-aidgroup.com/business-for-sale/,,V-AID Group,,False,,,skipped,0
Armen Nazarian,http://www.armennazarian.com/buy/,,Armen Nazarian,,False,,,skipped,0
Quiet Light Brokerage,https://quietlight.com/listings/,,Quiet Light Brokerage,,False,,,skipped,0
O'Connor Business Brokers,https://oconnorbusinessbrokers.com/Businesses-For-Sale,,O'Connor Business Brokers,,False,,,skipped,0
Florida Business Exchange,https://fbxbrokers.com/fbx-listings/,,Florida Business Exchange,,False,,,skipped,0
Adam Noble Group,https://adamnoble.com/searchourlistings/,,Adam Noble Group,,False,,,skipped,0
Indiana Business Advisors,https://indianabusinessadvisors.com/listings/,,Indiana Business Advisors,,False,,,skipped,0
NAI Commercial,https://www.naibc.ca/businesses/,,NAI Commercial,,False,,,skipped,0
Union Bay Group,https://www.unionbaygroup.com/listings?show=all,,Union Bay Group,,False,,,skipped,0
Business Team - San Francisco,https://www.business-team.com/buy-a-business/search-results.aspx?lid=all,,Business Team - San Francisco,,False,,,skipped,0
Preferred Business Brokers,http://www.preferredbrokers.com/listings/,,Preferred Business Brokers,,False,,,skipped,0
Amerivest Group,https://bizmls.com/listings/bbf-134/bus-rev.asp,,Amerivest Group,,False,,,skipped,0
Gateway Mergers and Acquisitions,https://www.gatewayma.com/available-listings,,Gateway Mergers and Acquisitions,,False,,,skipped,0
North American,https://north-american.net/listings/,,North American,,False,,,skipped,0
First Choice Business Brokers Las Vegas,https://businessforsaleinlasvegas.com/businesses-for-sale,,First Choice Business Brokers Las Vegas,,False,,,skipped,0
Sunbelt Business Advisors,https://www.sunbeltmidwest.com/search-results,,Sunbelt Business Advisors,,False,,,skipped,0
Acquisitions Direct,https://www.acquisitionsdirect.com/buy/,,Acquisitions Direct,,False,,,skipped,0
Sunbelt Canada,https://www.sunbeltcanada.com/businesses-for-sale-in-canada/?page=1,,Sunbelt Canada,,False,,,skipped,0
Transworld,"https://www.tworld.com/buy-a-business/business-listing-search?listing={%22country%22:{%22value%22:4,%22name%22:%22United+States%22},%22sort%22:{%22value%22:%22-c_listing_price__c%22,%22name%22:%22Price+($$$+to+$)%22}}",,Transworld,,False,,,skipped,0
Colorado Business Exchange,http://buyers.cobizex.com/browse-our-listings/,,Colorado Business Exchange,,False,,,skipped,0
Saint Louis Group,https://saintlouisgroup.com/listings/,,Saint Louis Group,,False,,,skipped,0
Apex Business Advisors,https://www.kcapex.com/listings/,,Apex Business Advisors,,False,,,skipped,0
Coastal Business Brokers,https://plus.nebba.org/properties/,,Coastal Business Brokers,,False,,,skipped,0
Synergy Business Brokers,https://synergybb.com/businesses-for-sale/,,Synergy Business Brokers,,False,,,skipped,0
Opportunities in Business,http://oibmn.com/listings,,Opportunities in Business,,False,,,skipped,0
Murphy Business Sales,https://murphybusiness.com/business-brokerage/view-our-listings/,,Murphy Business Sales,,False,,,skipped,0
LINK Business - Los Angeles,https://linkbusiness.com/businesses-for-sale/,,LINK Business - Los Angeles,,False,,,skipped,0
HedgeStone Business Advisors,https://www.hedgestone.com/businesses-for-sale/,,HedgeStone Business Advisors,,False,,,skipped,0
Liberty Business Advisors,https://www.lbaweb.com/listings/,,Liberty Business Advisors,,False,,,skipped,0
Business Brokerage Solution,http://www.straza.com/florida-business-for-sale.asp,,Business Brokerage Solution,,False,,,skipped,0
