vendor,category,sku,name,unit,price,url,brand,image,scrape_date
Turks Tra Lumber,Lumber & Framing Components,2618S,"2""x6""x18' Spruce Construction Lumber",/ Piece,$18.78,https://turkstralumber.com/products/2x6x18-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x6Spruce.jpg,2026-01-10 21:41:02.903722
Turks Tra Lumber,Lumber & Framing Components,21016S,"2”x10""x16’ Spruce Construction Lumber",/ Piece,$37.34,https://turkstralumber.com/products/2-x10-x16-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x10spruce_c065ced5-cf78-4189-a63f-fe13d7e3b63c.jpg,2026-01-10 21:41:03.003548
Turks Tra Lumber,Lumber & Framing Components,138S,1”x3”x8’ Spruce Strapping,/ Piece,$2.20,https://turkstralumber.com/products/1-x-3-x-8-spruce-strapping-boards-2,TURKSTRA,https://turkstralumber.com/cdn/shop/files/1x3spruce_989c63ab-92e4-489b-a7ca-b0f656b8d110.jpg,2026-01-10 21:41:03.094175
Turks Tra Lumber,Lumber & Framing Components,58SPRTG,5/8”x4’x8’ Tongue and Groove Spruce Plywood,/ Sheet,$52.98,https://turkstralumber.com/products/5-8-4-x-8-construction-grade-tongue-and-groove-spruce-plywood-15-5-mm-2,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/SpruceTGPly_fc5d2394-8ae1-44a9-8405-ebddcffa4132.jpg,2026-01-10 21:41:03.185670
Turks Tra Lumber,Lumber & Framing Components,58SPR,5/8”x4’x8’ Spruce Plywood,/ Sheet,$52.98,https://turkstralumber.com/products/5-8-4-x-8-construction-grade-spruce-plywood-15-5-mm-2,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/SprucePly_2eb3383e-d98a-4ec9-914c-43f15b37c619.jpg,2026-01-10 21:41:03.277176
Turks Tra Lumber,Lumber & Framing Components,2816S,2”x8”x16’ Spruce Construction Lumber,/ Piece,$30.31,https://turkstralumber.com/products/2-x8-x16-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x8Spruce_4abbd608-771d-4422-b44e-a604476cd5b1.jpg,2026-01-10 21:41:03.398215
Turks Tra Lumber,Lumber & Framing Components,2812S,2”x8”x12’ Spruce Construction Lumber,/ Piece,$22.73,https://turkstralumber.com/products/2-x8-x12-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x8Spruce_ea90bccf-1ef5-4ee2-94a6-5be4e2f293fc.jpg,2026-01-10 21:41:03.488905
Turks Tra Lumber,Lumber & Framing Components,4SG,"4"" ProPink ComfortSeal™ Sill Gasket",/ Roll,$14.95,https://turkstralumber.com/products/4-propink-comfortseal%E2%84%A2-sill-gasket,OWENS CORNING,https://turkstralumber.com/cdn/shop/files/4SG.jpg,2026-01-10 21:41:03.580290
Turks Tra Lumber,Lumber & Framing Components,14BIRVC,1/4 in X4 ft X8 ft BIRCH VENEER CORE BW-2,/ Sheet,$32.48,https://turkstralumber.com/products/1-4-in-x4-ft-x8-ft-birch-veneer-core-bw-2,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/BirchVC_ca9a1f37-3431-4d18-abb6-f4ce895a7270.jpg,2026-01-10 21:41:03.672676
Turks Tra Lumber,Lumber & Framing Components,2810S,2”x8”x10’ Spruce Construction Lumber,/ Piece,$18.94,https://turkstralumber.com/products/2-x8-x10-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x8Spruce_eea69200-5457-4361-9a88-15a82aedfca7.jpg,2026-01-10 21:41:03.763890
Turks Tra Lumber,Lumber & Framing Components,20LVL12-20DBL,"3 1/2"" X 11 7/8” X 20’ Versa-Lam® 2.1E 3100 Double Laminated Veneer Lumber Beam",/ Piece,$420.00,https://turkstralumber.com/products/3-1-2-x-11-7-8-x-20-versa-lam%C2%AE-2-1e-3100-double-laminated-veneer-lumber-beam,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/LVLinuse_c646039a-f83e-41d2-b551-13cad36ede64.jpg,2026-01-10 21:41:03.887520
Turks Tra Lumber,Lumber & Framing Components,34MGP,"3/4""4'x8' Marine Grade Plywood",/ Sheet,$177.84,https://turkstralumber.com/products/3-4-in-x4-ft-x8-ft-marine-grade-plywood,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/12MGP_73bd935f-3293-4ee5-8edc-e9a01e597d24.jpg,2026-01-10 21:41:03.991892
Turks Tra Lumber,Lumber & Framing Components,34ADV,3/4”x4’x8’ Advantech Subfloor OSB Sheathing.,/ Sheet,$60.76,https://turkstralumber.com/products/3-4-x-4-x-8-advantech-subfloor-osb-sheathing,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/osba.jpg,2026-01-10 21:41:33.932681
Turks Tra Lumber,Lumber & Framing Components,58OSBA,5/8”x4’x8’ Advanced Oriented Strand Board (OSB),/ Sheet,$28.30,https://turkstralumber.com/products/5-8-4-x-8-advanced-orientated-strand-board-osb-engineered-wood-sheeting-15-mm-2,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/osba_505ecd8f-3e36-4b0e-bf40-b5e076b7a6d3.jpg,2026-01-10 21:41:34.070832
Turks Tra Lumber,Lumber & Framing Components,2614S,2”x6”x14’ Spruce Construction Lumber,/ Piece,$16.25,https://turkstralumber.com/products/2-x6-x14-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x6Spruce_42fb9ca7-bea6-44e8-abb4-3cf566e66256.jpg,2026-01-10 21:41:34.171222
Turks Tra Lumber,Lumber & Framing Components,2414S,2”x4”x14’ Spruce Construction Lumber,/ Piece,$8.40,https://turkstralumber.com/products/2-x4-x14-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x4Spruce_0b4e170b-612c-497d-9099-017b82d8843f.jpg,2026-01-10 21:41:34.267389
Turks Tra Lumber,Lumber & Framing Components,21010S,"2”x10""x10’ Spruce Construction Lumber",/ Piece,$24.21,https://turkstralumber.com/products/2-x10-x10-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x10spruce.jpg,2026-01-10 21:41:34.398450
Turks Tra Lumber,Lumber & Framing Components,H2.5A,"H2.5A 18-Gauge Hurricane Tie, Zinc",/ Piece,$0.55,https://turkstralumber.com/products/h2-5a-18-gauge-galvanized-hurricane-tie-pack-of-100,SIMPSON STRONG-TIE®,https://turkstralumber.com/cdn/shop/files/H2.5A.jpg,2026-01-10 21:41:34.496485
Turks Tra Lumber,Lumber & Framing Components,18HARD,"1/8""x4'x8' Standard Hardboard",/ Sheet,$14.98,https://turkstralumber.com/products/1-8-in-x4-ft-x8-ft-standard-hardboard,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/Hardboard_f49be80d-83b7-4b08-9c0b-cbb0b398401f.jpg,2026-01-10 21:41:34.601222
Turks Tra Lumber,Lumber & Framing Components,12MGP,"1/2""x4'x8' ft Marine Grade Plywood",/ Sheet,$119.41,https://turkstralumber.com/products/1-2-in-x4-ft-x8-ft-marine-grade-plywood,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/12MGP.jpg,2026-01-10 21:41:34.704391
Turks Tra Lumber,Lumber & Framing Components,14MDFS,1/4 in X4 ft X8 ft MEDIUM DENSITY FIBREBOARD,/ Sheet,$23.03,https://turkstralumber.com/products/1-4-in-x4-ft-x8-ft-medium-density-fibreboard,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/MDFSheet_17747e3d-837c-4521-9d67-768cbbbfd591.jpg,2026-01-10 21:41:34.834497
Turks Tra Lumber,Lumber & Framing Components,12FSEL,1/2” 4’ X 8’ Fir Select Plywood,/ Sheet,$47.86,https://turkstralumber.com/products/1-2-4-x-8-fir-select-plywood,CANWEL DISTRIBUTION LTD,https://turkstralumber.com/cdn/shop/files/FirPly.jpg,2026-01-10 21:41:34.929646
Turks Tra Lumber,Lumber & Framing Components,1416SR,1”x4”x16’ Rough Spruce Strapping,/ Piece,$4.95,https://turkstralumber.com/products/1-x-4-x-16-rough-spruce-strapping-boards-2,TURKSTRA,https://turkstralumber.com/cdn/shop/files/1x4spruce_85bf5d69-7479-4964-ab12-c299add85934.jpg,2026-01-10 21:41:35.026392
Turks Tra Lumber,Lumber & Framing Components,14OSB,1/4”x4’x8’ Oriented Strand Board (OSB),/ Sheet,$10.98,https://turkstralumber.com/products/1-4-4-x-8-orientated-strand-board-osb-engineered-wood-sheeting-6-3-mm-2,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/quarterinchosb.jpg,2026-01-10 21:41:35.122675
Turks Tra Lumber,Lumber & Framing Components,34OSBA,3/4”x4’x8’ Advanced Oriented Strand Board (OSB),/ Sheet,$33.37,https://turkstralumber.com/products/3-4-4-x-8-advanced-orientated-strand-board-osb-engineered-wood-sheeting-18-mm-2,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/osba_c9b8add8-bf68-4a01-af1d-1a8c4cc0444a.jpg,2026-01-10 21:41:35.216204
Turks Tra Lumber,Lumber & Framing Components,2248PTD,2” X 2” X 48” Pointed Wooden Stake,/ Piece,$2.50,https://turkstralumber.com/products/2-x-2-x-48-pointed-wooden-layout-stake,TURKSTRA,https://turkstralumber.com/cdn/shop/files/PointedStakes.jpg,2026-01-10 21:41:35.343775
Turks Tra Lumber,Lumber & Framing Components,269SPC,2”x6”x104 5/8” Spruce Stud,/ Piece,$8.48,https://turkstralumber.com/products/2-x-6-x-104-5-8-kiln-dried-premium-spruce-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/26__S_e89abef6-ebfe-44fb-946a-730240c5953b.jpg,2026-01-10 21:41:35.436262
Turks Tra Lumber,Lumber & Framing Components,21218S,"2""x12""x18' Spruce Construction Lumber",/ Piece,$54.05,https://turkstralumber.com/products/2x12x18-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x12spruce_5e1e2c7b-e6ce-442c-b93a-2177a3e89c4e.jpg,2026-01-10 21:41:35.529054
Turks Tra Lumber,Lumber & Framing Components,21216S,2”x12”x16’ Spruce Construction Lumber,/ Piece,$65.46,https://turkstralumber.com/products/2-x12-x16-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x12spruce_6d1a84d3-979e-4120-836c-8c961df482d0.jpg,2026-01-10 21:42:04.512327
Turks Tra Lumber,Lumber & Framing Components,21210S,2”x12”x10’ Spruce Construction Lumber,/ Piece,$32.76,https://turkstralumber.com/products/2-x12-x10-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x12spruce.jpg,2026-01-10 21:42:04.605814
Turks Tra Lumber,Lumber & Framing Components,21018S,"2""x10""x18' Spruce Construction Lumber",/ Piece,$33.19,https://turkstralumber.com/products/2x10x18-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x10spruce_1e7e07c4-a519-4760-9e7f-8799fb2e58ab.jpg,2026-01-10 21:42:04.721164
Turks Tra Lumber,Lumber & Framing Components,TP35-PC,"3-1/8""x5"" TP 20-Gauge Tie Plate, Zinc Galvanized",/ Piece,$2.40,https://turkstralumber.com/products/tp-3-1-8-in-x-5-in-20-gauge-galvanized-tie-plate-pack-of-12000,SIMPSON STRONG-TIE®,https://turkstralumber.com/cdn/shop/files/C_TP35_ProdPho_Pho_Prod_TiePlate_C0.png,2026-01-10 21:42:04.818845
Turks Tra Lumber,Lumber & Framing Components,38BB,3/8 in X5 ft X5 ft BALTIC BIRCH BB/BB,/ Sheet,$73.89,https://turkstralumber.com/products/3-8-in-x5-ft-x5-ft-baltic-birch-bb-bb,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/BalticBirchPly_52b07856-d02a-459b-be77-07065df65729.jpg,2026-01-10 21:42:04.946926
Turks Tra Lumber,Lumber & Framing Components,34OAKG2SVC,"3/4""x4'x8' Red Oak Veneer Core Plywood",/ Sheet,$107.60,https://turkstralumber.com/products/3-4-in-x4-ft-x8-ft-red-oak-veneer-core-flat-sawn-b-2,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/RedOakPlywood_63fabd71-e0bc-43c3-81a5-38c4ecf51149.jpg,2026-01-10 21:42:05.050147
Turks Tra Lumber,Lumber & Framing Components,18MU,1/8 in X4 ft X8 ft MAHOGANY (2.7MM),/ Each,$17.00,https://turkstralumber.com/products/1-8-in-x4-ft-x8-ft-mahogany-2-7mm,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/MahoganyUnderlay.jpg,2026-01-10 21:42:05.145091
Turks Tra Lumber,Lumber & Framing Components,14OAKVC,1/4 in X4 ft X8 ft RED OAK VENEER CORE FLAT SAWN G1S A-4,/ Sheet,$43.00,https://turkstralumber.com/products/1-4-in-x4-ft-x8-ft-red-oak-veneer-core-flat-sawn-g1s-a-4,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/RedOakPlywood_b03b7ea7-0163-4765-90df-b68a847866c5.jpg,2026-01-10 21:42:05.237533
Turks Tra Lumber,Lumber & Framing Components,12OAKG2SVC,1/2 in X4 ft X8 ft RED OAK VENEER CORE FLAT SAWN G2S,/ Sheet,$82.88,https://turkstralumber.com/products/1-2-in-x4-ft-x8-ft-red-oak-veneer-core-flat-sawn-g2s,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/RedOakPlywood.jpg,2026-01-10 21:42:05.328875
Turks Tra Lumber,Lumber & Framing Components,38MDFS,3/8 in X4 ft X8 ft MEDIUM DENSITY FIBREBOARD,/ Sheet,$33.48,https://turkstralumber.com/products/3-8-in-x4-ft-x8-ft-medium-density-fibreboard,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/MDFSheet_821e5ec7-cc73-4ac3-a8f8-6034ed6fec60.jpg,2026-01-10 21:42:05.464512
Turks Tra Lumber,Lumber & Framing Components,1416S,1”x4”x16’ Spruce Strapping,/ Piece,$6.70,https://turkstralumber.com/products/1-x-4-x-16-spruce-strapping-boards-2,TURKSTRA,https://turkstralumber.com/cdn/shop/files/1x4spruce_65f9bcd1-a5ba-4756-a661-a8425ea1412b.jpg,2026-01-10 21:42:05.561260
Turks Tra Lumber,Lumber & Framing Components,2212S,2”x2”x12’ Spruce Strapping,/ Piece,$4.95,https://turkstralumber.com/products/2-x-2-x-12-spruce-strapping-boards-2,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x2spruce.jpg,2026-01-10 21:42:05.656477
Turks Tra Lumber,Lumber & Framing Components,148S,1”x4”x8’ Spruce Strapping,/ Piece,$2.90,https://turkstralumber.com/products/1-x-4-x-8-spruce-strapping-boards-2,TURKSTRA,https://turkstralumber.com/cdn/shop/files/1x4spruce_c8148f4f-0e9a-43d4-bf3c-4d4adb2b4159.jpg,2026-01-10 21:42:05.750554
Turks Tra Lumber,Lumber & Framing Components,128S,1”x2”x8’ Spruce Strapping,/ Piece,$1.60,https://turkstralumber.com/products/1-x-2-x-8-spruce-strapping-boards-2,TURKSTRA,https://turkstralumber.com/cdn/shop/files/1x2spruce.jpg,2026-01-10 21:42:05.844564
Turks Tra Lumber,Lumber & Framing Components,2620LVL,1 1/2” X 5 1/2” X 20’ Laminated Veneer Lumber Stud,/ Piece,$97.40,https://turkstralumber.com/products/1-1-2-x-5-1-2-x-20-laminated-veneer-lumber-stud,BOISE CASCADE WOOD PRODUCTS,https://turkstralumber.com/cdn/shop/files/LVLstudsandijoists_0647eb72-383a-410f-b27c-75e5545d96f1.jpg,2026-01-10 21:42:05.972616
Turks Tra Lumber,Lumber & Framing Components,HGUS412,"HGUS Face Mount Joist Hanger for 4x12, Zinc Galvanized",/ Each,$29.98,https://turkstralumber.com/products/hgus-galvanized-face-mount-joist-hanger-for-4x12,SIMPSON STRONG-TIE®,https://turkstralumber.com/cdn/shop/files/HGUS412_RI.png,2026-01-10 21:42:06.088994
Turks Tra Lumber,Lumber & Framing Components,2820S,"2""x8""x20' Spruce Construction Lumber",/ Piece,$31.11,https://turkstralumber.com/products/2x8x20-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x8Spruce_08654f36-dc42-4d94-8ba4-bf42d03f0d72.jpg,2026-01-10 21:42:38.046862
Turks Tra Lumber,Lumber & Framing Components,2624S,"2""x6""x24' Spruce Construction Lumber",/ Piece,$44.22,https://turkstralumber.com/products/2x6x24-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x6Spruce_616666d4-75e5-4eca-9438-041cc657fe06.jpg,2026-01-10 21:42:38.140566
Turks Tra Lumber,Lumber & Framing Components,21212S,2”x12”x12’ Spruce Construction Lumber,/ Piece,$46.84,https://turkstralumber.com/products/2-x12-x12-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x12spruce_5036c321-c90a-4602-818f-7768e8c3146d.jpg,2026-01-10 21:42:38.232323
Turks Tra Lumber,Lumber & Framing Components,2108S,2”x10”x8’ Spruce Construction Lumber,/ Piece,$18.64,https://turkstralumber.com/products/2-x10-x8-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x10spruce_f5462516-28d6-44bc-8f5f-9c7aa79dc3f9.jpg,2026-01-10 21:42:38.323692
Turks Tra Lumber,Lumber & Framing Components,21020S,"2""x10""x20' Spruce Construction Lumber",/ Piece,$43.11,https://turkstralumber.com/products/2x10x20-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x10spruce_0a817914-8b35-4b43-ab7d-b45496a0f438.jpg,2026-01-10 21:42:38.444986
Turks Tra Lumber,Lumber & Framing Components,21014S,2”x10”x14’ Spruce Construction Lumber,/ Piece,$31.86,https://turkstralumber.com/products/2-x10-x14-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x10spruce_884cb321-291d-4b30-8fe1-22e66280ffcb.jpg,2026-01-10 21:42:38.570664
Turks Tra Lumber,Lumber & Framing Components,LSL26,"2""x6""x92-5/8"" T-TEC LSL Precut Stud 1.35E",/ Piece,$25.28,https://turkstralumber.com/products/2-x-6-x-92-5-8-timberstrand-laminated-strand-lumber-pre-cut-studs,TOLKO MARKETING AND SALES LTD,https://turkstralumber.com/cdn/shop/files/T-TEC-LSL-4_922c3ea2-e8db-4fc3-9eb0-43fc29ebc329.png,2026-01-10 21:42:38.663223
Turks Tra Lumber,Lumber & Framing Components,LSL24,"2""x4""x92-5/8"" T-TEC LSL Precut Stud 1.35E",/ Piece,$16.80,https://turkstralumber.com/products/2-x-4-x-92-5-8-timberstrand-laminated-strand-lumber-pre-cut-studs,TOLKO MARKETING AND SALES LTD,https://turkstralumber.com/cdn/shop/files/T-TEC-LSL-4.png,2026-01-10 21:42:38.754425
Turks Tra Lumber,Lumber & Framing Components,20LVL14-20DBL,"3 1/2"" X 14” X 20’ Versa-Lam® 2.1E 3100 Double Laminated Veneer Lumber Beam",/ Piece,$491.20,https://turkstralumber.com/products/3-1-2-x-14-x-20-versa-lam%C2%AE-2-1e-3100-double-laminated-veneer-lumber-beam,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/LVLinuse_13a97964-07c8-498a-b3c5-49d83baa38b3.jpg,2026-01-10 21:42:38.847861
Turks Tra Lumber,Lumber & Framing Components,ST10,10' Shed Truss 6/12 Pitch,/ Each,$99.00,https://turkstralumber.com/products/10-shed-truss-6-12-pitch,TURKSTRA,https://turkstralumber.com/cdn/shop/files/st810_9c5fc730-f672-4cb6-9466-292529639adc.jpg,2026-01-10 21:42:38.972554
Turks Tra Lumber,Lumber & Framing Components,LBOLT6HDG-PC,"1/2""x6"" L-Bolt Anchor Bolt, Hot Dipped Galvanized",/ Piece,$2.45,https://turkstralumber.com/products/1-2-in-x-6-in-hot-dip-galvanized-l-bolt-anchor-bolt-50-qty,SIMPSON STRONG-TIE®,https://turkstralumber.com/cdn/shop/files/C_LBOLT62100HDG_ProdPho_Pho_Prod_SideView_CA_C0_1.png,2026-01-10 21:42:39.069794
Turks Tra Lumber,Lumber & Framing Components,H8,H8 18-Gauge Galvanized Hurricane Tie,/ Each,$2.20,https://turkstralumber.com/products/h8-18-gauge-galvanized-hurricane-tie,SIMPSON STRONG-TIE®,https://turkstralumber.com/cdn/shop/files/H8.jpg,2026-01-10 21:42:39.166602
