Year Company,Set Name,Player Name,Card Number,Cert #,GRADE,TOTAL,Surface,Corners & Edges,Centering,Creases/Dents,Additional Notes,@GradeImg,@SubImg
2025 Pokemon - S&V - Destined Rivals,Team Rocket's Moltres ex,FA - SECRET,#208,#00452722,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps
2024 Pokemon,S&V Black Star Promo,Pikachu - FA,#88,#00452723,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps
2025 Pokemon,S&V - Destined Rivals,Misty's Psyduck - FA - SECRET,#193,#00452664,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Pokemon,ME - Phantasmal Flames,Piplup - FA - SECRET,#98,#00452665,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2000 Pokemon,Black Star Promo,Venusaur - HOLO,#13,#00452666,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2001 Pokemon,Neo Discovery,Espeon - HOLO,#1,#00452667,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps
2001 Pokemon,Neo Revelation,Entei - HOLO,#6,#00452668,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps
2025 Topps - Series 1 ,Major League Material - RELIC,Paul Skenes,#MLM-PS,#00452615,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps
2025 Panini,2025 Origins - 045/149,Bijan Robinson - ORANGE,#57,#00452616,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Panini - 2025 Origins,Rookie Auto. - RC - AUTO - 06/99,Trevor Etienne - RED,#RA-TET,#00452617,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps
1990 Upper Deck,Star Rookie,Deion Sanders,#13,#00452618,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps
2025 Pokemon,ME- Phantasmal Flames,Piplup - FA - SECRET,#98,#00453172,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2025 Pokemon,Mega Evolution,Lillie's Determination - FA - SECRET,#169,#00453173,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2025 Pokemon,McDonald's Dragon Discovery,Dragonite - HOLO,#12,#00453174,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Pokemon,S&V - Black Bolt,Fraxure - FA - SECRET,#146,#00453175,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Pokemon,S&V - Prismatic Evolutions,Sylveon ex - HOLO STAMP,#41,#00453176,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2025 Panini - 2024 Select,Club Level - Patrick Mahomes II,RED & YELLOW SHOCK,#223,#00450701,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2021 Panini - 2021 Prizm ,Draft Picks - All-Americans - RC,Micah Parsons - GREEN,#188,#00450702,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2018 Panini - 2018 Phoenix,QB Vision - 122/199,Patrick Mahomes II - PINK,#25,#00450703,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps
2022 Panini,2021 Mosaic - RC,Micah Parsons - PINK CAMO,#362,#00450704,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2024 Panini,2024 Prizm,Jordan Love - LAZER,#101,#00450705,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2025 Panini - 2024 Donruss,Optic - Rated Rookie,Bo Nix - BLUE HYPER,#209,#00450706,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2003 Playoff - Contenders - Season Ticket,Rookie - AUTO - 098/974,Brooks Bollinger,#157,#00450707,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
1990 Topps,Chicago White Sox,Sammy Sosa,#692,#00451573,PRSRVD,PRSRVD,PRSRVD,PRSRVD,PRSRVD,PRSRVD,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-PRSRVD.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-PRSRVD.eps
2022 Wild Card - AutoMania,Black Friday - AUTO - 8/10,A. Hutchinson - BLACK ON GOLD SQ.,#AM-SBF7,#00450536,DEGREE 8,8,3,3,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3311.eps
2024 WC - '24 AutoMania - Amr. Fb.,Triangle - 1st TC - AUTO - 24/25,O. Hampton - AMRCN. FLAG SPRKL.,#AMAT-OH,#00450537,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2023 Panini - 2022 Select ,Concourse - RC - 23/49,Jameson Williams - ORANGE,#57,#00450538,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2022 Panini,2022 Score - RC - 173/399,Khalil Shakir - STARS,#394,#00450539,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2024 Panini - 2024 Prizm ,Draft Picks - 073/149,Jahmyr Gibbs - PURPLE ICE,#44,#00450540,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Pokemon,ME Black Star Promo,Oricorio ex - FA,#24,#00451373,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Pokemon,ME Black Star Promo,Mega Charizard X ex - FA,#23,#00451374,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Topps,2025 Chrome - Shadow Etch,Bryce Harper,#SE-4,#00451375,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2025 Panini - 2025 Three and Two ,Award Winning - 15/32,Ty Cobb - FULL COUNT,#12,#00451376,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps
2018 Topps,2018 Gallery - RC,Shohei Ohtani,#116,#00451377,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2018 Topps,2018 Gallery - RC,Shohei Ohtani,#116,#00451378,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps
2018 Topps,2018 Gallery - RC,Shohei Ohtani,#116,#00451379,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2018 Topps,2018 Gallery - Masterpiece - RC,Shohei Ohtani,#M-30,#00451380,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps
1975 Topps,Baltimore Orioles,Jim Palmer,#335,#00453080,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps
1985 Topps,1984 United States Baseball Team,Mark McGwire,#401,#00453081,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps
1991 Fleer,Pro-Visions,Mike Greenwell,#8,#00453082,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps
2007 Topps - Series One ,A.L. Rookie of the Year,Justin Verlander,#326,#00453083,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps
2007 Topps,Series Two,Roger Clemens,#340,#00453084,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps
2025 Pokemon,ME - Phantasmal Flames,Mega Charizard X ex - FA - SECRET,#109,#00452325,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2023 Pokemon,S&V - 151,Wartortle - FA - SECRET,#171,#00452326,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps
2025 Pokemon,S&V - Prismatic Evolutions,Dragapult ex - FA - SECRET,#165,#00452327,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2023 Pokemon,S&V - 151,Pikachu - FA - SECRET,#173,#00452328,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2023 Pokemon,S&V Black Star Promo,Snorlax - FA,#51,#00452329,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps
1991 Fleer,Pro-Visions,Bo Jackson,#5,#00452310,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps
1968 Topps - 1967 RBI Leaders,Orlando Cepeda/Bob Clemente/,Hank Aaron,#3,#00452311,DEGREE 0,0,1,1,1,-4,Crease found on the front of the card - Extending from the center-right edge into Bob Clemente's portrait,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-0.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-111-4.eps
2025 Panini,2025 Donruss - Vortex - RC,Jalen Milroe,#12,#00452312,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
2025 Panini,2025 Mosaic - International Games,Gabriel Davis - HONEYCOMB,#255,#00452313,DEGREE 8,8,3,3,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3311.eps
1991 Score,Series 2 - Master Blaster,Bo Jackson,#692,#00452314,DEGREE 6,6,1,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-6.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-1221.eps
2022 Pokemon,SWSH Black Star Promo,Machamp - HOLO,#SWSH243,#00452253,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2020 Pokemon,SWSH Black Star Promo,Eternatus VMAX - FA,#SWSH045,#00452254,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps
2024 Pokemon,S&V Black Star Promo,Charizard ex - HOLO,#161,#00452255,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps
2025 Pokemon,ME Black Star Promo,Mega Latias ex - HOLO,#11,#00452256,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps
2023 Pokemon - SWSH ,Crown Zenith - Galarian Gallery,Bidoof - FA,#GG29,#00452257,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps
2025 Topps,2025 Bowman,Paul Skenes,#30,#00452154,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps
