Year Company,Set Name,Player Name,Card Number,Cert ,GRADE,TOTAL,Surface,Corners & Edges,Centering,Creases/Dents,Additional Notes,@GradeImg,@SubImg,@QRcode
2023 Topps,2023 Bowman - Mega Box - Rookie Autographs - RC - AUTO - 13/25,Francisco Alvarez - ORANGE,#BRA-FA,452912,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452912.eps
2025 Panini,2024 Select - Premier Level - RC,Drake Maye - BLACK & BLUE SHOCK,#113,452913,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452913.eps
2025 Topps,2025 Bowman - Very Important Prospects,Nick Kurtz,#VIP-2,452914,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452914.eps
2025 Topps,2024 Chrome - RC - 018/275,Johnny Wilson - PURPLE,#231,452877,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452877.eps
2025 Panini,2024 Illusions - Clutch - 151/299,Mike Quick - LIGHT BLUE,#20,452878,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452878.eps
2025 Panini,2024 Donruss - Optic - Light It Up,Jalen Hurts,#19,452879,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452879.eps
2024 Panini,2024 Donruss - Dominators,A.J. Brown,#3,452880,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452880.eps
2024 Panini,2023 Zenith - Thunder & Lightning,Jalen Hurts/D'Andre Swift,#17,452881,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452881.eps
1991 Fleer,Update Series - Team Leader,Larry Bird,#373,452734,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452734.eps
2001 Upper Deck,Tiger's Tales,Tiger Woods,#TT10,452735,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452735.eps
2001 Upper Deck,Tiger's Tales,Tiger Woods,#TT22,452736,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452736.eps
2001 Upper Deck,Tiger's Tales,Tiger Woods,#TT20,452737,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452737.eps
1990 Score,Series 2 - Rocket Man,Jerry Rice,#556,452738,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452738.eps
2024 Pokemon,S&V - Temporal Forces,Reuniclus - FA - SECRET,#171,452719,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452719.eps
2025 Pokemon,Mega Evolution,Ivysaur - FA - SECRET,#134,452720,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452720.eps
2025 Pokemon,ME - Phantasmal Flames,Meowth - FA - SECRET,#106,452721,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452721.eps
2025 Pokemon,S&V - Destined Rivals,Team Rocket's Moltres ex - FA - SECRET,#208,452722,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452722.eps
2024 Pokemon,S&V Black Star Promo,Pikachu - FA,#88,452723,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452723.eps
2025 Pokemon,S&V - Destined Rivals,Misty's Psyduck - FA - SECRET,#193,452664,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452664.eps
2025 Pokemon,ME - Phantasmal Flames,Piplup - FA - SECRET,#98,452665,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452665.eps
2000 Pokemon,Black Star Promo,Venusaur - HOLO,#13,452666,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452666.eps
2001 Pokemon,Neo Discovery,Espeon - HOLO,#1,452667,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452667.eps
2001 Pokemon,Neo Revelation,Entei - HOLO,#6,452668,DEGREE 7,7,2,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-7.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452668.eps
2025 Topps,Series 1 - Major League Material - RELIC,Paul Skenes,#MLM-PS,452615,DEGREE 8,8,3,2,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3221.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452615.eps
2025 Panini,2025 Origins - 045/149,Bijan Robinson - ORANGE,#57,452616,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452616.eps
2025 Panini,2025 Origins - Rookie Autographs - RC - AUTO - 06/99,Trevor Etienne - RED,#RA-TET,452617,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452617.eps
1990 Upper Deck,Star Rookie,Deion Sanders,#13,452618,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00452618.eps
2025 Pokemon,ME- Phantasmal Flames,Piplup - FA - SECRET,#98,453172,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00453172.eps
2025 Pokemon,Mega Evolution,Lillie's Determination - FA - SECRET,#169,453173,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00453173.eps
2025 Pokemon,McDonald's Dragon Discovery,Dragonite - HOLO,#12,453174,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00453174.eps
2025 Pokemon,S&V - Black Bolt,Fraxure - FA - SECRET,#146,453175,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00453175.eps
2025 Pokemon,S&V - Prismatic Evolutions,Sylveon ex - HOLO STAMP,#41,453176,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00453176.eps
2025 Panini,2024 Select - Club Level,Patrick Mahomes II - RED & YELLOW SHOCK,#223,450701,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450701.eps
2021 Panini,2021 Prizm - Draft Picks - All-Americans - RC,Micah Parsons - GREEN,#188,450702,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450702.eps
2018 Panini,2018 Phoenix - QB Vision - 122/199,Patrick Mahomes II - PINK,#25,450703,DEGREE 9,9,2,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450703.eps
2022 Panini,2021 Mosaic - RC,Micah Parsons - PINK CAMO,#362,450704,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450704.eps
2024 Panini,2024 Prizm,Jordan Love - LAZER,#101,450705,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450705.eps
2025 Panini,2024 Donruss - Optic - Rated Rookie,Bo Nix - BLUE HYPER,#209,450706,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450706.eps
2003 Playoff,Contenders - Season Ticket - Rookie - AUTO - 098/974,Brooks Bollinger,#157,450707,DEGREE 8,8,2,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450707.eps
1990 Topps,Chicago White Sox,Sammy Sosa,#692,451573,PRSRVD,PRSRVD,PRSRVD,PRSRVD,PRSRVD,PRSRVD,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-PRSRVD.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-PRSRVD.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451573.eps
2022 Wild Card,AutoMania - Black Friday - AUTO - 8/10,Aidan Hutchinson - BLACK ON GOLD SQUARE,#AM-SBF7,450536,DEGREE 8,8,3,3,1,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3311.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450536.eps
2024 Wild Card,2024 AutoMania - American Football - Triangle - 1st Trading Card - AUTO - 24/25,Omarion Hampton - AMERICAN FLAG SPARKLES,#AMAT-OH,450537,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450537.eps
2023 Panini,2022 Select - Concourse - RC - 23/49,Jameson Williams - ORANGE,#57,450538,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450538.eps
2022 Panini,2022 Score - RC - 173/399,Khalil Shakir - STARS,#394,450539,DEGREE 10,10,3,3,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-10.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3331.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450539.eps
2024 Panini,2024 Prizm - Draft Picks - 073/149,Jahmyr Gibbs - PURPLE ICE,#44,450540,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00450540.eps
2025 Pokemon,ME Black Star Promo,Oricorio ex - FA,#24,451373,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451373.eps
2025 Pokemon,ME Black Star Promo,Mega Charizard X ex - FA,#23,451374,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451374.eps
2025 Topps,2025 Chrome - Shadow Etch,Bryce Harper,#SE-4,451375,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451375.eps
2025 Panini,2025 Three and Two - Award Winning - 15/32,Ty Cobb - FULL COUNT,#12,451376,DEGREE 8,8,2,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-8.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-2231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451376.eps
2018 Topps,2018 Gallery - RC,Shohei Ohtani,#116,451377,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451377.eps
2018 Topps,2018 Gallery - RC,Shohei Ohtani,#116,451378,DEGREE 9,9,3,2,3,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3231.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451378.eps
2018 Topps,2018 Gallery - RC,Shohei Ohtani,#116,451379,DEGREE 9,9,3,3,2,1,,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:degree-9.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:degree-labels:back-subgrades:back-subgrade-3321.eps,macintosh hd:users:joeyd:desktop:degree:orders:labels print ready:2025:January:labels-00450476-00461703:qr_codes:00451379.eps
